PatientID,PatientFirstName,PatientLastName,PatientPhoneNumber,PatientEmail,PatientAddress,PatientCity,PatientState,PatientZip,PatientInsuranceInfo,PatientBirthDate
1,Griselda,Corder,9775763718,gcorder0@icio.us,5 Armistice Hill,Virginia Beach,VA,23464,reintermediate mission-critical interfaces,11/3/1921
2,Saba,Dumke,3234441655,sdumke1@sun.com,8653 Ohio Circle,Honolulu,HI,96840,redefine global methodologies,10/16/2006
3,Goddard,Boddam,8652597761,gboddam2@t.co,63666 Merchant Way,Monroe,LA,71208,target revolutionary paradigms,2/28/1986
4,Kellyann,Dover,9491981492,kdover3@wp.com,40 Columbus Street,Richmond,VA,23220,deliver 24/365 ROI,10/28/1955
5,Toiboid,Manlow,5363411122,tmanlow4@t-online.de,37798 Weeping Birch Lane,Colorado Springs,CO,80915,deliver global e-services,5/9/1996
6,Matthias,Sonley,2321533416,msonley5@jalbum.net,09945 Gina Center,Sarasota,FL,34238,extend e-business initiatives,3/7/1965
7,Borden,MacGuigan,4591777247,bmacguigan6@scribd.com,8281 Everett Terrace,Green Bay,WI,54313,incentivize turn-key e-markets,7/19/1963
8,Donelle,Wong,2829229178,dwong7@scientificamerican.com,70816 Meadow Ridge Parkway,Cincinnati,OH,45233,transform holistic infrastructures,10/31/1962
9,Marchelle,Cud,1642685183,mcud8@alibaba.com,157 Lunder Court,New Hyde Park,NY,11044,incentivize robust e-markets,9/15/1941
10,Glyn,Habishaw,2769956617,ghabishaw9@comsenz.com,78824 Talmadge Drive,Richmond,CA,94807,whiteboard real-time relationships,3/18/1998
11,Glenden,Hymans,2643372571,ghymansa@adobe.com,47 Monica Terrace,Gastonia,NC,28055,benchmark viral architectures,3/14/1961
12,Lorettalorna,Lowdyane,1772993467,llowdyaneb@tinypic.com,0 Eagan Parkway,New York City,NY,10170,exploit killer ROI,9/3/1938
13,Ingra,Benyan,7169745155,ibenyanc@wikimedia.org,15 Helena Alley,Fort Smith,AR,72905,seize end-to-end infomediaries,10/28/1926
14,Gray,Whitewood,3952871289,gwhitewoodd@mapquest.com,613 Westend Hill,Joliet,IL,60435,integrate cross-media communities,2/14/1970
